528, 918, 1001, 1665, 2133, 3471, 3483, 4055, 4438, 6076, 6676, 7293, 10498, 13265, 13386, 13461, 14521, 14891, 15377, 15385
187, 1888, 3186, 3388, 3693, 3836, 3880, 4741, 5272, 6594, 9046, 10273, 10897, 11379, 11852, 12004, 12511, 12939, 13606, 13845
1345, 2532, 3014, 3157, 5160, 6344, 6735, 6990, 7846, 8504, 8905, 9890, 10551, 11259, 11466, 11620, 11751, 12566, 13161, 13817
358, 460, 815, 1877, 2012, 2217, 2547, 4300, 4651, 5502, 5675, 5831, 5944, 6764, 7385, 7417, 9137, 9292, 11116, 12988
387, 625, 1491, 2411, 2649, 3320, 3824, 3970, 4899, 4968, 5543, 6594, 7126, 7847, 11114, 11134, 12485, 13826, 14020, 15235


23924, 28276, 8031, 6580, 43789, 9081, 16918, 34659, 51900, 55180, 57784, 17818, 10559, 1040, 881, 19117, 93, 44385, 43813, 59652
25458, 33972, 57492, 48193, 5462, 58595, 25983, 21588, 53335, 53763, 19379, 32928, 26813, 42550, 51085, 1006, 59521, 30023, 12991, 32272
49207, 9180, 16847, 35388, 33724, 24982, 20528, 3567, 21624, 57233, 47598, 43215, 43817, 22289, 48850, 12899, 59273, 6530, 51541, 42281
37049, 37695, 7750, 28100, 43828, 2205, 4589, 57731, 33606, 50810, 19464, 26175, 53030, 32609, 57613, 5081, 15626, 19844, 15251, 58653
59908, 39328, 24239, 51237, 52568, 31596, 7682, 14730, 40079, 17757, 54678, 22571, 34432, 6009, 55219, 31907, 52263, 23548, 49410, 3731
